DIRE,LINEA,STOP_ID
JUNCAL 3524,188,1000854
"CARRANZA, ANGEL JUSTINIANO 1514",39,1000886
"CARRANZA, ANGEL JUSTINIANO 1514",93,1000886
COMBATIENTES DE MALVINAS AV. 3151,113,1004146
COMBATIENTES DE MALVINAS AV. 3151,133,1004146
LAS HERAS GENERAL AV. 2780,10,1000509
LAS HERAS GENERAL AV. 2780,59,1000509
DARREGUEYRA 2101,34,1000329
LAS HERAS GENERAL AV. 2778,108,1000510
LAS HERAS GENERAL AV. 2778,110,1000510
TRIUNVIRATO AV. 3174,127,1004119
TRIUNVIRATO AV. 3174,71,1004119
ELCANO AV. y GUEVARA sobre el metrobus,108,3453
ELCANO AV. y GUEVARA sobre el metrobus,87,3453
ARAOZ y JUNCAL sobre el metrobus,57,3459
GORRITI 5708,39,1000160
SANTA FE AV. 3835,111,1000831
SANTA FE AV. 3835,39,1000831
LAS HERAS GENERAL AV. 2745,37,1000445
LAS HERAS GENERAL AV. 2745,95,1000445
"MISTRAL, GABRIELA 2483",110,1004686
TRIUNVIRATO AV. 3085,127,1004118
TRIUNVIRATO AV. 3085,71,1004118
"CASTILLO, RAMON S., PRES. AV. nan",22,1006889
"CASTILLO, RAMON S., PRES. AV. nan",45,1006889
"CASTILLO, RAMON S., PRES. AV. y DE LOS INMIGRANTES AV. sobre el metrobus",143,14649
"CASTILLO, RAMON S., PRES. AV. y DE LOS INMIGRANTES AV. sobre el metrobus",33,14649
TRIUNVIRATO AV. 3075,108,1004117
TRIUNVIRATO AV. 3075,87,1004117
LAS HERAS GENERAL AV. 2750,102,1000511
LAS HERAS GENERAL AV. 2750,37,1000511
ESTADO PLURINACIONAL DE BOLIVIA y MOSCONI GENERAL AV. sobre el metrobus,110,3471
ARAOZ 2795,110,1000861
ARAOZ 2795,160,1000861
SANTA FE AV. 3818,194,1000617
SANTA FE AV. 3818,57,1000617
FRAGA nan,108,1003746
FRAGA nan,71,1003746
FRAGA nan,87,1003746
"SCALABRINI ORTIZ, RAUL 2638",110,1000853
"ARTIGAS, JOSE GERVASIO, GRAL. y MISTRAL, GABRIELA sobre el metrobus",87,3482
VALLEJOS y ZAMUDIO sobre el metrobus,87,3483
"FIGUEROA ALCORTA, PRES. AV. nan",130,1000714
"FIGUEROA ALCORTA, PRES. AV. nan",62,1000714
"FIGUEROA ALCORTA, PRES. AV. nan",62,1000716
COMBATIENTES DE MALVINAS AV. 3154,113,1004144
COMBATIENTES DE MALVINAS AV. 3154,133,1004144
"FRAGA y LACROZE, FEDERICO AV. sobre el metrobus",63,3489
"CASTILLO, RAMON S., PRES. AV. nan",129,1006904
"CASTILLO, RAMON S., PRES. AV. nan",22,1006904
MALABIA y SANTA FE AV. sobre el metrobus,194,3491
"SCALABRINI ORTIZ, RAUL 2608",160,1000852
"FIGUEROA ALCORTA, PRES. AV. nan",17,1000718
AREVALO 1327,108,1000102
"CASTILLO, RAMON S., PRES. AV. nan",108,1006903
GRIVEO 2893,107,1004747
HUMBOLDT 1785,108,1000900
CAMPILLO 2422,111,1004143
CAMPILLO 2422,123,1004143
NAZCA 4906,110,1004755
AVALOS y DEL TEMPLE sobre el metrobus,123,3499
"RAVIGNANI, EMILIO, DR. y VEGA, NICETO, CNEL. AV. sobre el metrobus",108,3500
COMBATIENTES DE MALVINAS AV. 3113,111,1004147
"LACROZE, FEDERICO AV. 3908",63,1003794
"LACROZE, FEDERICO AV. 3908",71,1003794
LAS HERAS GENERAL AV. 2691,102,1000443
LAS HERAS GENERAL AV. 2691,41,1000443
LAS HERAS GENERAL AV. 2691,59,1000443
LAS HERAS GENERAL AV. 2650,92,1000513
LAS HERAS GENERAL AV. 2650,93,1000513
"FIGUEROA ALCORTA, PRES. AV. nan",130,1000722
SANTA FE AV. 3784,64,1000614
SANTA FE AV. 3784,68,1000614
DE LOS INCAS AV. 4885,80,1003482
DE LOS INCAS AV. 4885,87,1003482
DEL LIBERTADOR AV. nan,130,1000957
PARAGUAY 4508,111,1000296
PARAGUAY 4508,36,1000296
ESTOMBA y TRIUNVIRATO AV. sobre el metrobus,108,3508
ESTOMBA y TRIUNVIRATO AV. sobre el metrobus,87,3508
DEL LIBERTADOR AV. nan,67,1000679
DE LOS CONSTITUYENTES AV. 4138,111,1004622
LAS HERAS GENERAL AV. 2669,10,1000441
LAS HERAS GENERAL AV. 2669,108,1000441
LAS HERAS GENERAL AV. 2669,93,1000441
"LACROZE, FEDERICO AV. 3936",184,1003795
"LACROZE, FEDERICO AV. 3936",42,1003795
"LACROZE, FEDERICO AV. 3936",44,1003795
"LACROZE, FEDERICO AV. 3936",65,1003795
NAZCA 4893,110,1004756
SANTA FE AV. 3753,15,1000832
SANTA FE AV. 3753,29,1000832
"LACROZE, FEDERICO AV. 3946",19,1003796
"LACROZE, FEDERICO AV. 3946",39,1003796
LAS HERAS GENERAL AV. 2630,118,1000514
LAS HERAS GENERAL AV. 2630,41,1000514
BAUNESS y DE LOS INCAS AV. sobre el metrobus,123,3533
"COCHRANE y PAZ, GRAL. AV. sobre el metrobus",117,3534
"COCHRANE y PAZ, GRAL. AV. sobre el metrobus",21,3534
SANTA FE AV. 3741,64,1000833
CHARLONE 104,39,1003876
TRIUNVIRATO AV. 2982,71,1005067
LAS HERAS GENERAL AV. 2643,118,1000439
LAS HERAS GENERAL AV. 2643,60,1000439
"FIGUEROA ALCORTA, PRES. AV. y VAZ FERREIRA, CARLOS, DR. sobre el metrobus",67,3541
"FIGUEROA ALCORTA, PRES. AV. y VAZ FERREIRA, CARLOS, DR. sobre el metrobus",92,3541
"FIGUEROA ALCORTA, PRES. AV. y VAZ FERREIRA, CARLOS, DR. sobre el metrobus",93,3541
PUEYRREDON AV. nan,61,1000989
PUEYRREDON AV. nan,92,1000989
PUEYRREDON AV. nan,93,1000989
PUEYRREDON AV. 2590,93,1000981
PUEYRREDON AV. 2590,92,1000984
PUEYRREDON AV. 2590,62,1000992
"BORGES, JORGE LUIS 2189",55,1000669
TRIUNVIRATO AV. 2909,127,1004114
TRIUNVIRATO AV. 2909,71,1004114
CORDOBA AV. 5959,140,1000096
DE LOS INCAS AV. 4910,80,1003454
DE LOS INCAS AV. 4910,87,1003454
FITZ ROY y GORRITI sobre el metrobus,111,3556
"BONPLAND y CABRERA, JOSE A. sobre el metrobus",111,3559
"CASTILLO, RAMON S., PRES. AV. nan",91,1006905
"LACROZE, FEDERICO AV. 3966",90,1003797
"DIAZ, CNEL. AV. 2380",128,1000458
"DIAZ, CNEL. AV. 2380",92,1000458
OLLEROS 3908,108,1003772
OLLEROS 3908,87,1003772
OLLEROS 3908,93,1003772
TRIUNVIRATO AV. 2922,127,1004115
TRIUNVIRATO AV. 2922,71,1004115
DE LOS INMIGRANTES AV. nan,126,1002872
DE LOS INMIGRANTES AV. nan,33,1002872
"CARRIL, SALVADOR MARIA DEL AV. 2108",108,1004661
TRIUNVIRATO AV. 2775 sobre el metrobus,108,4113
TRIUNVIRATO AV. 2775,71,1004113
MOSCONI GENERAL AV. 2714,107,1004717
MOSCONI GENERAL AV. 2714,114,1004717
MOSCONI GENERAL AV. 2714,87,1004717
BONPLAND 1491,93,1000888
14 DE JULIO y TRIUNVIRATO AV. sobre el metrobus,108,3577
14 DE JULIO y TRIUNVIRATO AV. sobre el metrobus,87,3577
"CASTILLO, RAMON S., PRES. AV. nan",45,1006906
"SANTA FE AV. y SCALABRINI ORTIZ, RAUL sobre el metrobus",152,3580
"SANTA FE AV. y SCALABRINI ORTIZ, RAUL sobre el metrobus",39,3580
"FOREST AV. y LACROZE, FEDERICO AV. sobre el metrobus",65,3582
"FOREST AV. y LACROZE, FEDERICO AV. sobre el metrobus",90,3582
"BACON y PAZ, GRAL. AV. sobre el metrobus",117,15997
DEL LIBERTADOR AV. nan,61,1000682
DEL LIBERTADOR AV. nan,67,1000682
DEL LIBERTADOR AV. nan,92,1000682
DEL LIBERTADOR AV. nan,93,1000682
"CARRANZA, ANGEL JUSTINIANO y VEGA, NICETO, CNEL. AV. sobre el metrobus",111,3587
"CARRANZA, ANGEL JUSTINIANO y VEGA, NICETO, CNEL. AV. sobre el metrobus",140,3587
"CARRIL, SALVADOR MARIA DEL AV. y HALL, BASILIO sobre el metrobus",176,14646
DEL LIBERTADOR AV. nan,124,1000683
DEL LIBERTADOR AV. nan,130,1000683
DEL LIBERTADOR AV. nan,67,1000683
"SALGUERO, JERONIMO 2271",188,1000859
"HONDURAS y JUSTO, JUAN B. AV. sobre el metrobus",166,20287
"CORBETA URUGUAY y PY, COMODORO AV. sobre el metrobus",129,14650
"CORBETA URUGUAY y PY, COMODORO AV. sobre el metrobus",22,14650
"SCALABRINI ORTIZ, RAUL AV. 2466",141,1000608
"CORBETA URUGUAY y PY, COMODORO AV. sobre el metrobus",22,4080
"CORBETA URUGUAY y PY, COMODORO AV. sobre el metrobus",45,4080
SANTA FE AV. 3641,194,1000834
SANTA FE AV. 3641,36,1000834
HONDURAS 5449,39,1000151
FITZ ROY 1512,108,1000898
BALLIVIAN y DE LOS CONSTITUYENTES AV. sobre el metrobus,123,3616
GORRITI 5516,39,1000161
CHARLONE 2,39,1003877
GODOY CRUZ 1993,34,1000310
GODOY CRUZ 1993,39,1000310
"SCALABRINI ORTIZ, RAUL AV. 2454",15,1000604
BILLINGHURST 2291,128,1000498
BILLINGHURST 2291,92,1000498
SANTA FE AV. 3616,12,1000851
SANTA FE AV. 3616,39,1000851
COMBATIENTES DE MALVINAS AV. 3066,113,1004148
COMBATIENTES DE MALVINAS AV. 3066,133,1004148
DE LOS INMIGRANTES AV. nan,143,1002876
FOREST AV. y GUEVARA sobre el metrobus,108,3632
"PAZ, GRAL. AV. COLECTORA nan",28,1005788
"CONDARCO y MISTRAL, GABRIELA sobre el metrobus",87,3634
ELCANO AV. y GUZMAN AV. sobre el metrobus,111,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,123,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,127,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,44,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,47,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,63,14651
ELCANO AV. y GUZMAN AV. sobre el metrobus,78,14651
SANTA FE AV. 3610,152,1000849
SANTA FE AV. 3608,111,1000850
SANTA FE AV. 3608,29,1000850
"SCALABRINI ORTIZ, RAUL AV. 2434",110,1000602
"DIAZ, CNEL. AV. 2280",128,1000462
"DIAZ, CNEL. AV. 2280",92,1000462
ARAOZ y SANTA FE AV. sobre el metrobus,110,3649
ARAOZ y SANTA FE AV. sobre el metrobus,194,3649
ARAOZ y SANTA FE AV. sobre el metrobus,57,3649
GUZMAN AV. nan,127,1004112
PARAGUAY 4334,111,1000295
PARAGUAY 4334,36,1000295
"VEGA, NICETO, CNEL. AV. 5720",151,1000105
"VEGA, NICETO, CNEL. AV. 5720",168,1000105
DE LOS INMIGRANTES AV. 1950,6,1002873
DE LOS INMIGRANTES AV. 1950,7,1002873
DE LOS INMIGRANTES AV. 1950,92,1002873
ZAMUDIO 4291,110,1004740
ZAMUDIO 4291,87,1004740
"CARRANZA, ANGEL JUSTINIANO 1314",93,1000887
NAZCA 4736,110,1004757
DE LOS INCAS AV. 5095,80,1003332
DE LOS INCAS AV. 5095,87,1003332
GALILEO y LAS HERAS GENERAL AV. sobre el metrobus,93,382
URIARTE 1816,34,1000327
COMBATIENTES DE MALVINAS AV. 3047,111,1004150
COMBATIENTES DE MALVINAS AV. 3047,113,1004150
COMBATIENTES DE MALVINAS AV. 3047,133,1004150
PUEYRREDON AV. 2446,62,1001003
PUEYRREDON AV. 2446,92,1001003
PUEYRREDON AV. 2446,93,1001003
DE LOS INMIGRANTES AV. nan,33,1002875
DE LOS INMIGRANTES AV. nan,92,1002875
SANTA FE AV. 3553,29,1000836
SANTA FE AV. 3553,64,1000836
"ANTARTIDA ARGENTINA AV. y PERETTE, CARLOS H. sobre el metrobus",143,66
ARAOZ 2479,160,1000270
GRIVEO 3095,107,1004746
"GUEMES y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",110,3671
"GUEMES y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",141,3671
"GUEMES y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",57,3671
COMBATIENTES DE MALVINAS AV. 3046,111,1004149
COMBATIENTES DE MALVINAS AV. 3046,123,1004149
PUEYRREDON AV. 2428,93,1001007
FOREST AV. y OLLEROS sobre el metrobus,176,3675
DE LOS INCAS AV. 5110,80,1003455
DE LOS INCAS AV. 5110,87,1003455
LLERENA 2695,111,1006995
"LACROZE, FEDERICO AV. 4144",44,1003793
"LACROZE, FEDERICO AV. 4144",65,1003793
"PY, COMODORO AV. sobre el metrobus",108,15894
"PY, COMODORO AV. sobre el metrobus",91,15894
"LACROZE, FEDERICO AV. nan",42,1003775
"LACROZE, FEDERICO AV. nan",76,1003775
"ALVAREZ, JULIAN 2506",188,1000855
LAS HERAS GENERAL AV. 2435,10,1000435
LAS HERAS GENERAL AV. 2435,110,1000435
LAS HERAS GENERAL AV. 2442,108,1000515
LAS HERAS GENERAL AV. 2442,110,1000515
LAS HERAS GENERAL AV. 2438,37,1000516
LAS HERAS GENERAL AV. 2438,95,1000516
"ARTIGAS, JOSE GERVASIO, GRAL. 4310",110,1004738
"ARTIGAS, JOSE GERVASIO, GRAL. 4310",87,1004738
"PAZ, GRAL. AV. sobre el metrobus",21,4748
"PAZ, GRAL. AV. sobre el metrobus",28,4748
"CARRIL, SALVADOR MARIA DEL AV. 2295",108,1004662
"CARRIL, SALVADOR MARIA DEL AV. 2295",123,1004662
AVALOS 2693,123,1004151
COSTA RICA 4960,39,1000162
NAZCA 4697,110,1004758
GUZMAN AV. nan,44,1004111
GUZMAN AV. nan,63,1004111
SANTA FE AV. 3487,111,1000837
SANTA FE AV. 3487,39,1000837
"CARACAS y CARRIL, SALVADOR MARIA DEL AV. sobre el metrobus",176,14655
LAS HERAS GENERAL AV. 2412,10,1000540
LAS HERAS GENERAL AV. 2412,59,1000540
"LACROZE, FEDERICO AV. 4164",63,1003792
GUZMAN AV. nan,111,1004109
GUZMAN AV. nan,127,1004109
LAPRIDA y LAS HERAS GENERAL AV. sobre el metrobus,37,3806
LAPRIDA y LAS HERAS GENERAL AV. sobre el metrobus,95,3806
GUZMAN AV. nan,123,1004110
GUZMAN AV. nan,47,1004110
"LACROZE, FEDERICO AV. 4168",39,1003790
THAMES 1814,55,1000658
CALLAO AV. y DEL LIBERTADOR AV. sobre el metrobus,61,61
"LACROZE, FEDERICO AV. 4051",112,1003798
"LACROZE, FEDERICO AV. 4051",176,1003798
"LACROZE, FEDERICO AV. 4051",184,1003798
ELCANO AV. sobre el metrobus,44,14656
"CARRIL, SALVADOR MARIA DEL AV. 2306",108,1004663
"CARRIL, SALVADOR MARIA DEL AV. 2306",123,1004663
CORDOBA AV. 5733,140,1000093
CORDOBA AV. 5733,168,1000093
ELCANO AV. 4357,44,1004188
ELCANO AV. 4357,63,1004188
LAS HERAS GENERAL AV. 2379,92,1000431
LAS HERAS GENERAL AV. 2379,93,1000431
DEL LIBERTADOR AV. nan,130,1000693
DEL LIBERTADOR AV. nan,62,1000693
SANTA FE AV. 3441,152,1000838
SANTA FE AV. 3441,68,1000838
GUZMAN AV. nan,78,1004108
"FITZ ROY y VEGA, NICETO, CNEL. AV. sobre el metrobus",140,3743
DE LOS CONSTITUYENTES AV. 3810,111,1003477
DE LOS CONSTITUYENTES AV. 3810,123,1003477
"CABRERA, JOSE A. y JUSTO, JUAN B. AV. sobre el metrobus",166,3745
PUEYRREDON AV. 2318,62,1000999
CAMPILLO 2670,111,1004142
CAMPILLO 2670,123,1004142
"CARRIL, SALVADOR MARIA DEL AV. y PEREZ ROSALES, VICENTE sobre el metrobus",176,14658
GUZMAN AV. nan,111,1004107
GUZMAN AV. nan,127,1004107
GUZMAN AV. nan,78,1004107
"LACROZE, FEDERICO AV. nan",90,1003776
ELCANO AV. 4379,47,1004187
ELCANO AV. 4379,78,1004187
"PAZ, GRAL. AV. sobre el metrobus",28,15938
"LOPEZ, CARLOS ANTONIO 3083",114,1004744
LAS HERAS GENERAL AV. 2370,102,1000541
LAS HERAS GENERAL AV. 2370,60,1000541
SANTA FE AV. 3424,64,1000848
SANTA FE AV. 3424,68,1000848
"BORGES, JORGE LUIS 1889",55,1000668
"LOPEZ, CARLOS ANTONIO 3085",114,1004720
GUZMAN AV. nan,123,1004105
GUZMAN AV. nan,44,1004105
ARAOZ 2387,36,1000272
HONDURAS 5291,39,1000150
DEL LIBERTADOR AV. 952,130,1000685
DEL LIBERTADOR AV. 952,93,1000685
"GUEVARA y NEWBERY, JORGE AV. sobre el metrobus",127,3773
DE LOS CONSTITUYENTES AV. 3797,111,1003478
DE LOS CONSTITUYENTES AV. 3797,123,1003478
GUEVARA 393,19,1003826
GUEVARA 393,90,1003826
BONPLAND 1281,111,1003784
BONPLAND 1281,93,1003784
"CORRIENTES AV. y LACROZE, FEDERICO AV. sobre el metrobus",19,3788
"CORRIENTES AV. y LACROZE, FEDERICO AV. sobre el metrobus",65,3788
"CORRIENTES AV. y LACROZE, FEDERICO AV. sobre el metrobus",71,3788
"CORRIENTES AV. y LACROZE, FEDERICO AV. sobre el metrobus",93,3788
CHORROARIN AV. y COMBATIENTES DE MALVINAS AV. sobre el metrobus,123,535
BAUNESS y LLERENA sobre el metrobus,123,3778
"MISTRAL, GABRIELA 2895",87,1004684
DEL LIBERTADOR AV. 930,92,1000688
"SALGUERO, JERONIMO y SANTA FE AV. sobre el metrobus",194,3780
DEL LIBERTADOR AV. y RODRIGUEZ PEÑA sobre el metrobus,93,3919
CORRIENTES AV. 6891,42,1003777
LADINES 3308,90,1005525
"LA BLANQUEADA y PAZ, GRAL. AV. sobre el metrobus",117,3794
"LA BLANQUEADA y PAZ, GRAL. AV. sobre el metrobus",21,3794
"PY, COMODORO AV. sobre el metrobus",129,15892
"PY, COMODORO AV. sobre el metrobus",22,15892
"PY, COMODORO AV. sobre el metrobus",45,15892
FOREST AV. y MAURE sobre el metrobus,90,3795
ANTARTIDA ARGENTINA AV. 1215,23,1007014
ANTARTIDA ARGENTINA AV. 1215,5,1007014
"DIAZ, CNEL. AV. 2130",128,1000466
"DIAZ, CNEL. AV. 2130",92,1000466
HUMBOLDT 1427,108,1000899
ALVEAR AV. 1992,17,1000663
ALVEAR AV. 1992,110,1000666
CORRIENTES AV. 6841,47,1003801
ELCANO AV. 4402,111,1004184
ELCANO AV. 4402,123,1004184
ELCANO AV. 4402,78,1004184
ELCANO AV. 4402,44,1004185
ELCANO AV. 4402,47,1004185
ELCANO AV. 4402,63,1004185
OLLEROS 4178,112,1003773
"VEGA, NICETO, CNEL. AV. 5510",151,1000107
"VEGA, NICETO, CNEL. AV. 5510",168,1000107
LAS HERAS GENERAL AV. 2318,118,1000517
LAS HERAS GENERAL AV. 2318,41,1000517
PUEYRREDON AV. 2257,61,1000979
PUEYRREDON AV. 2257,92,1000979
PUEYRREDON AV. 2257,93,1000979
CORRIENTES AV. 6819,184,1003779
CORRIENTES AV. 6819,71,1003803
"SALGUERO, JERONIMO 1995",188,1000252
SANTA FE AV. 3390,152,1000847
COSTA RICA 4812,39,1000164
SANTA FE AV. 3384,12,1000846
SANTA FE AV. 3384,39,1000846
"CARRANZA, ANGEL JUSTINIANO 1112",111,1003879
"CARRANZA, ANGEL JUSTINIANO 1112",93,1003879
MAURE 4121,127,1003822
URIARTE 1612,34,1000325
ZAMUDIO 4089,110,1003471
ZAMUDIO 4089,87,1003471
"MANSILLA, LUCIO NORBERTO, GENERAL y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",57,3906
LAS HERAS GENERAL AV. y PUEYRREDON AV. sobre el metrobus,93,3893
CORRIENTES AV. y OLLEROS sobre el metrobus,111,3825
CORRIENTES AV. y OLLEROS sobre el metrobus,78,3825
CORRIENTES AV. y OLLEROS sobre el metrobus,90,3825
"GRIVEO y ZEBALLOS, ESTANISLAO S. sobre el metrobus",107,3826
DEL CAMPO AV. 1653,111,1004158
"SCALABRINI ORTIZ, RAUL AV. 2170",141,1000785
"SCALABRINI ORTIZ, RAUL AV. 2170",15,1000785
CORRIENTES AV. nan,127,1003834
SANTA FE AV. 3366,111,1000845
SANTA FE AV. 3366,29,1000845
"PY, COMODORO AV. sobre el metrobus",22,15890
"PY, COMODORO AV. sobre el metrobus",45,15890
CORRIENTES AV. 6781,76,1003808
CALLAO AV. y POSADAS sobre el metrobus,17,3843
LAS HERAS GENERAL AV. 2295,102,1000428
LAS HERAS GENERAL AV. 2295,108,1000428
CORRIENTES AV. 6773,19,1003810
CORRIENTES AV. 6769,127,1003812
CORRIENTES AV. 6769,65,1003812
LAS HERAS GENERAL AV. 2290,108,1000518
CORRIENTES AV. nan,111,1003835
LAS HERAS GENERAL AV. 2284,110,1000542
"CARRIL, SALVADOR MARIA DEL AV. 2483",176,1004664
DORREGO AV. y FRAGA sobre el metrobus,108,3849
DE LOS INCAS AV. 5318,80,1003457
DE LOS INCAS AV. 5318,87,1003457
NAZCA 4516,110,1004759
PARAGUAY 4108,111,1000293
PARAGUAY 4108,160,1000293
PARAGUAY 4108,36,1000293
DEL LIBERTADOR AV. y MONTEVIDEO sobre el metrobus,61,4006
CORRIENTES AV. nan,87,1003837
MAURE 4179,39,1003818
LAS HERAS GENERAL AV. 2280,37,1000519
CORRIENTES AV. 6735,112,1003813
"CARRIL, SALVADOR MARIA DEL AV. 2489",108,1004665
"CARRIL, SALVADOR MARIA DEL AV. 2489",123,1004665
DE LOS INCAS AV. 5328,123,1003458
DE LOS INCAS AV. 5328,80,1003458
DE LOS INCAS AV. 5328,87,1003458
LAS HERAS GENERAL AV. 2276,102,1000520
"JUSTO, JUAN B. AV. y VEGA, NICETO, CNEL. AV. sobre el metrobus",166,3926
CORRIENTES AV. 6721,176,1003815
CORRIENTES AV. sobre el metrobus,42,3868
CORRIENTES AV. sobre el metrobus,76,3868
CORDOBA AV. 5545,151,1000092
CORDOBA AV. 5545,168,1000092
"PARAGUAY y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",110,3871
LAS HERAS GENERAL AV. 2275,10,1000425
LAS HERAS GENERAL AV. 2275,59,1000425
"ARENAL, CONCEPCION y GUEVARA sobre el metrobus",127,3874
GUEVARA 195,19,1003832
GUEVARA 195,90,1003832
ANTARTIDA ARGENTINA AV. sobre el metrobus,129,4010
ANTARTIDA ARGENTINA AV. sobre el metrobus,22,4010
ANTARTIDA ARGENTINA AV. sobre el metrobus,45,4010
ANTARTIDA ARGENTINA AV. sobre el metrobus,92,4010
PUEYRREDON AV. 2047,118,1000973
PUEYRREDON AV. 2047,41,1000973
CORRIENTES AV. 6687,47,1003816
PUEYRREDON AV. 2089,61,1000977
CORRIENTES AV. nan,90,1003838
CORDOBA AV. 5519,140,1000091
QUIROS 2615,133,1004152
"ALVAREZ, JULIAN 2326",188,1000268
THAMES 1604,55,1000660
"SCALABRINI ORTIZ, RAUL AV. 2085",141,1000291
"SCALABRINI ORTIZ, RAUL AV. 2085",15,1000291
"CARRIL, SALVADOR MARIA DEL AV. 2510",108,1004667
"CARRIL, SALVADOR MARIA DEL AV. 2510",123,1004667
"CARRIL, SALVADOR MARIA DEL AV. 2516",176,1004669
MOSCONI GENERAL AV. 3108,107,1004719
MOSCONI GENERAL AV. 3108,114,1004719
MOSCONI GENERAL AV. 3108,87,1004719
BULNES y SANTA FE AV. sobre el metrobus,194,3913
LAS HERAS GENERAL AV. 2243,60,1000424
LAS HERAS GENERAL AV. 2243,95,1000424
HONDURAS 5091,39,1000148
CORRIENTES AV. nan,111,1003839
CORRIENTES AV. nan,47,1003839
LAS HERAS GENERAL AV. 2248,59,1000521
SANTA FE AV. 3281,29,1000839
SANTA FE AV. 3281,64,1000839
CAMPILLO 2812,111,1004141
GODOY CRUZ 1595,34,1000320
LLERENA 2995,111,1006994
LAS HERAS GENERAL AV. 2229,110,1000421
LAS HERAS GENERAL AV. 2229,37,1000421
DEL LIBERTADOR AV. y LIBERTAD sobre el metrobus,130,4104
DEL LIBERTADOR AV. y LIBERTAD sobre el metrobus,67,4104
DEL LIBERTADOR AV. y LIBERTAD sobre el metrobus,93,4104
CORRIENTES AV. y MAURE sobre el metrobus,112,3929
CORRIENTES AV. y MAURE sobre el metrobus,65,3929
CORRIENTES AV. y MAURE sobre el metrobus,93,3929
LAS HERAS GENERAL AV. 2230,10,1000522
CALLAO AV. 1911,124,1000637
BILLINGHURST 1985,128,1000495
BILLINGHURST 1985,92,1000495
"SALGUERO, JERONIMO 1891",39,1000251
CORRIENTES AV. sobre el metrobus,108,3988
CORRIENTES AV. sobre el metrobus,42,3988
CORRIENTES AV. sobre el metrobus,76,3988
CORRIENTES AV. sobre el metrobus,78,3988
ANASAGASTI y SANTA FE AV. sobre el metrobus,194,3955
CORRIENTES AV. nan,127,1003841
CORRIENTES AV. nan,78,1003841
BONPLAND nan,93,1003870
LAS HERAS GENERAL AV. 2210,60,1000523
CORRIENTES AV. nan,19,1003843
CORRIENTES AV. nan,71,1003843
CORRIENTES AV. nan,87,1003843
"CARRANZA, ANGEL JUSTINIANO 940",111,1003880
"CARRANZA, ANGEL JUSTINIANO 940",93,1003880
ARAOZ 2095,160,1000273
ARAOZ 2095,36,1000273
GAVILAN 3706,123,1003476
DEL CAMPO AV. 1522,111,1004159
DEL CAMPO AV. 1522,123,1004159
PUEYRREDON AV. 1978,41,1001013
PUEYRREDON AV. 1978,95,1001013
PUEYRREDON AV. 1976,41,1001015
"LOPEZ, CARLOS ANTONIO 3299",114,1004745
SANTA FE AV. 3254,64,1000844
SANTA FE AV. 3254,68,1000844
"COMBATE DE COSTA BRAVA y PY, COMODORO AV. sobre el metrobus",108,3983
"COMBATE DE COSTA BRAVA y PY, COMODORO AV. sobre el metrobus",129,3983
"COMBATE DE COSTA BRAVA y PY, COMODORO AV. sobre el metrobus",22,3983
URIARTE 1402,34,1000323
"GUATEMALA y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",57,3976
COSTA RICA 4604,39,1000165
PUEYRREDON AV. 1956,118,1001017
PUEYRREDON AV. 1956,62,1001017
NAZCA 4393,110,1004760
"CORRIENTES AV. y NEWBERY, JORGE AV. sobre el metrobus",108,3992
"CORRIENTES AV. y NEWBERY, JORGE AV. sobre el metrobus",111,3992
"CORRIENTES AV. y NEWBERY, JORGE AV. sobre el metrobus",65,3992
"CORRIENTES AV. y NEWBERY, JORGE AV. sobre el metrobus",93,3992
CHORROARIN AV. 751,133,1004157
CERRITO y DEL LIBERTADOR AV. sobre el metrobus,61,4165
CERRITO y DEL LIBERTADOR AV. sobre el metrobus,67,4165
ZAMUDIO nan,110,1003472
ZAMUDIO nan,87,1003472
SANTA FE AV. 3213,12,1000840
SANTA FE AV. 3213,39,1000840
SANTA FE AV. 3205,111,1000841
"DIAZ, CNEL. AV. 1926",39,1000471
CORRIENTES AV. sobre el metrobus,42,16015
CORRIENTES AV. sobre el metrobus,76,16015
CORRIENTES AV. sobre el metrobus,90,16015
SANTA FE AV. 3250,152,1000843
SANTA FE AV. 3250,39,1000843
"VEGA, NICETO, CNEL. 5322",140,1000111
"DIAZ, CNEL. AV. 1920",128,1000472
"DIAZ, CNEL. AV. 1920",92,1000472
LADINES 3514,90,1005522
"VEGA, NICETO, CNEL. 5318",151,1000109
"VEGA, NICETO, CNEL. 5318",168,1000109
DEL CAMPO AV. 1487,111,1004160
DEL CAMPO AV. 1487,123,1004160
QUIROS 2781,113,1004154
QUIROS 2781,133,1004154
"RAMOS MEJIA, JOSE MARIA, DR. AV. nan",108,1006934
"RAMIREZ DE VELASCO, JUAN 1597",127,1003881
