DIRE,LINEA,STOP_ID
DIRECTORIO AV. y PITAGORAS sobre el metrobus,96,14345
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZOS, JOSE sobre el metrobus",101,11816
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZOS, JOSE sobre el metrobus",143,11816
GRITO DE ASENCIO 3168,150,1005175
GRITO DE ASENCIO 3168,91,1005175
VARELA AV. 1791,76,1007035
"SUAREZ, JOSE LEON 993",4,1005774
"MORENO, PERITO AV. 1281",46,1006795
PEPIRI 1093,150,1005839
SAENZ AV. y TRAFUL sobre el metrobus,115,20353
SAENZ AV. y TRAFUL sobre el metrobus,91,20353
DIRECTORIO AV. 5349,104,1006588
DIRECTORIO AV. 5349,55,1006588
SAENZ AV. 1151,177,1005886
SAENZ AV. 1151,75,1005886
"RABANAL, FRANCISCO, INTENDENTE AV. 1317",44,1006531
VARELA AV. 3112,6,1006083
"RABANAL, FRANCISCO, INTENDENTE AV. y VARELA AV. sobre el metrobus",115,20348
"RABANAL, FRANCISCO, INTENDENTE AV. y VARELA AV. sobre el metrobus",76,20348
"RABANAL, FRANCISCO, INTENDENTE AV. y VARELA AV. sobre el metrobus",91,20348
"DE LA TORRE, LISANDRO AV. y PUPILLO, LIBORIO, PASEO sobre el metrobus",80,395
"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y DELLEPIANE, LUIS, TTE. GRAL. sobre el metrobus",56,13347
"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y DELLEPIANE, LUIS, TTE. GRAL. sobre el metrobus",91,13347
DE LOS CORRALES AV. 6532,126,1006454
ECHEANDIA y LARRAYA sobre el metrobus,117,13454
FONROUGE y SANTANDER sobre el metrobus,5,13547
BARCA CABO DE HORNOS 6710,185,1006837
"GORDILLO, TIMOTEO y RIESTRA AV. sobre el metrobus",143,13901
"GORDILLO, TIMOTEO y RIESTRA AV. sobre el metrobus",80,13901
"PAZ, GRAL. AV. COLECTORA nan",36,1007273
"CORRALES y PAZ, GRAL. AV. sobre el metrobus",21,14180
nan sobre el metrobus,152,20447
nan sobre el metrobus,59,20447
nan sobre el metrobus,152,20436
nan sobre el metrobus,161,20436
nan sobre el metrobus,19,20436
nan sobre el metrobus,59,20436
nan sobre el metrobus,71,20436
DEL LIBERTADOR AV. nan,29,1002714
DEL LIBERTADOR AV. 8360,15,1002713
DEL LIBERTADOR AV. 8360,29,1002713
RAMALLO 1691,130,1002343
SAN ISIDRO LABRADOR AV. 4802,151,1003353
SAN ISIDRO LABRADOR AV. 4802,71,1003353
"CRAMER y PAZ, GRAL. AV. sobre el metrobus",60,664
VEDIA 2980,117,1006657
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) nan,160,1006975
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) sobre el metrobus,160,20213
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) sobre el metrobus,33,20213
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) sobre el metrobus,37,20213
